objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,type,specobjid,class,subClass,redshift,plate,mjd,fiberid,sourceType,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg
1.23765E+18,238.2219135,-0.132528645,22.48091,19.68635,18.06919,17.42014,17.02861,745,301,3,531,1.405466,2.335798,2.359476,2.360674,2.307583,2.106161,2.132853,2.101405,2.110422,2.134229,0.302159,3.123425,2.526188,2.590338,2.478562,0.3945554,7.667095,8.433173,8.656023,6.61861,3,3.85064E+17,GALAXY,,0.2744926,342,51691,23,QA,36,0.444000006,0.028000001,0,0.056000002,0.25,0.222000003
1.23765E+18,238.2991054,-0.090566001,24.01885,21.3128,19.42684,18.69778,18.32586,745,301,3,531,-9999,2.201997,2.34134,2.336168,2.348017,2.098882,2.133595,2.099739,2.110893,2.134555,11.18215,4.561394,1.774136,1.874401,1.156641,11.28409,10.43344,5.858845,8.254702,2.338478,3,3.85067E+17,GALAXY,,0.3809979,342,51691,32,GALAXY,56,0.588999987,0.071000002,0,0.054000001,0.214000002,0.071000002
1.23766E+18,237.360203,-0.539850613,25.30761,21.91711,19.88564,18.9969,18.63636,2379,301,6,188,-9999,1.9583,2.272421,2.209068,2.124241,2.105581,2.107279,2.071879,2.048194,2.055413,6.152524,1.871108,1.3936,1.575419,1.296935,6.488064,5.585261,3.713317,4.378245,2.469024,3,3.85074E+17,GALAXY,,0.4672021,342,51691,60,GALAXY,29,0.620999992,0,0,0,0.379000008,0
1.23765E+18,237.678816,-0.092635457,22.02136,19.88752,18.25693,17.64682,17.22701,745,301,3,527,0.7779741,2.424582,2.367845,2.329699,2.296175,2.094784,2.13047,2.11721,2.11039,2.119044,2.010078,2.329876,2.088064,2.011929,1.49414,8.668403,6.53614,5.983285,5.815679,3.809887,3,3.85078E+17,GALAXY,BROADLINE,0.299199,342,51691,72,GALAXY,31,0.935000002,0,0,0.064999998,0,0
1.23766E+18,237.5327397,-0.458842033,23.61204,21.03769,19.25393,18.46982,17.95373,2334,301,6,278,-2.139924,2.466541,2.323362,2.306854,2.282086,2.130476,2.112752,2.098152,2.110819,2.098945,0.2362399,0.1874497,2.038002,2.257441,2.111879,0.3031822,0.2504131,4.891366,6.232348,5.716271,3,3.85079E+17,GALAXY,,0.4435758,342,51691,77,GALAXY,36,0.722000003,0.028000001,0,0.082999997,0.166999996,0
1.23765E+18,237.286368,-0.001111494,23.38643,20.59487,18.84793,18.21408,17.74901,756,301,3,811,2.533993,2.320331,2.274742,2.267465,2.251838,2.043197,2.086116,2.026325,2.028002,2.067624,4.347128,1.548967,1.826028,1.918774,1.999187,4.78281,3.731668,5.7298,5.795644,5.853354,3,3.85089E+17,GALAXY,,0.3375607,342,51691,115,GALAXY,31,0.805999994,0.032000002,0,0.032000002,0.128999993,0
1.23766E+18,236.8400043,-0.567238985,21.65385,19.64868,18.09817,17.46941,17.1234,2379,301,6,185,0,2.344662,2.341459,2.284424,2.309894,2.091004,2.093536,2.079497,2.067577,2.050667,2.691506,1.625791,1.517778,1.523207,1.367498,5.776083,3.539535,4.119467,4.35845,3.499133,3,3.85096E+17,GALAXY,,0.2297656,342,51691,138,GALAXY,58,0.828000009,0,0.017000001,0.034000002,0.120999999,0
1.23766E+18,237.2103342,-0.539430118,24.0039,21.46322,19.97756,19.36625,18.95468,2379,301,6,187,2.223993,2.179508,2.112609,2.14396,2.293611,2.101564,2.10839,2.076368,2.057011,2.037905,4.236418,1.097337,1.068877,1.020513,1.216392,4.52239,2.308291,2.862463,2.289732,3.297736,3,3.85099E+17,GALAXY,,0.4324159,342,51691,149,SERENDIPITY_FIRST,30,0.633000016,0,0,0.033,0.333000004,0
1.23765E+18,236.8406308,-0.426538791,22.21477,19.71939,18.07094,17.46834,17.0267,756,301,2,808,-0.008235982,2.296028,2.328942,2.336437,2.309216,2.047154,2.084253,2.050091,2.018054,2.027088,3.70181,2.408309,1.975287,1.999536,2.290275,6.544927,6.981125,5.817711,5.893975,6.130251,3,3.85102E+17,GALAXY,,0.3009112,342,51691,162,GALAXY,24,0.833000004,0,0,0,0.166999996,0
1.23766E+18,237.0728318,-0.491296521,21.854,20.46251,18.71089,18.10838,17.721,2379,301,6,186,2.340357,2.242347,2.267682,2.237699,2.217776,2.092548,2.103431,2.073407,2.038669,2.029,2.286518,1.285267,1.318369,1.299741,1.236018,5.61487,3.667445,3.592796,3.642061,3.007789,3,3.85103E+17,GALAXY,,0.3462872,342,51691,165,GALAXY,29,0.723999977,0.034000002,0,0.034000002,0.207000002,0
